reviewer_id,group_id,nct_id,title,candidate_id,annotation_index,section_hint,line_number,start_char,end_char,source_text,detection_reasons,include_in_objective_gold,kind,fact_code,operator,threshold,unit,max_age_days,allowed_source_types,allowed_verification_statuses,reviewer_notes
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:001,1,inclusion,3,21,182,* Ability and willingness to self-administer the study drug (or receive an injection from a trained individual if visually impaired or with physical limitations),,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:002,1,inclusion,4,183,640,"* Diagnosis of type 2 diabetes mellitus (T2DM) according to WHO classification or other locally applicable standards with HbA1c ≥6.5% to ≤10% determined by laboratory test at screening, and on stable oral therapy for at least 3 months prior to screening (if applicable). T2DM may be treated with diet/exercise alone or any oral anti-hyperglycemic medication (as per local labeling) EXCEPT dipeptidyl peptidase 4 (DPP-4) inhibitors or GLP-1 RA-based therapy.",number;comparison;duration;measurement;explicit_status,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:003,1,inclusion,5,641,678,* Body mass index (BMI) ≥27.0 kg/m\^2,number;comparison;measurement,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:004,1,inclusion,6,679,762,* History of ≥1 self-reported unsuccessful diet/exercise effort to lose body weight,number;comparison;measurement;explicit_status,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:005,1,exclusion,10,785,943,* History of type 1 diabetes mellitus (T1DM) or any lifetime history of ketoacidosis or history of hyperosmolar state/coma within 12 months prior to screening,number;duration;explicit_status,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:006,1,exclusion,11,944,1071,* Have had 1 or more episodes of severe hypoglycemia and/or has hypoglycemia unawareness within the 6 months prior to screening,number;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:007,1,exclusion,12,1072,1194,* At least 2 confirmed fasting blood glucose values \>270 mg/dL (15.0 mmol/L) (on 2 non-consecutive days) during screening,number;comparison;duration;explicit_status,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:008,1,exclusion,13,1195,1274,* Self-reported change in body weight \>5 kg within 3 months prior to screening,number;comparison;duration;measurement,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:009,1,exclusion,14,1275,1476,"* Obesity induced by other endocrinologic disorders (e.g., Cushing's syndrome) or diagnosed monogenetic or syndromic forms of obesity (e.g., melanocortin 4 receptor deficiency or Prader-Willi syndrome)",number,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:010,1,exclusion,15,1477,1618,* Prior or planned surgical treatment for obesity. Liposuction or abdominoplasty if performed more than 1 year prior to screening is allowed.,number;comparison;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:011,1,exclusion,16,1619,1737,"* Known clinically significant gastric emptying abnormality (e.g., severe gastroparesis or gastric outlet obstruction)",,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:012,1,exclusion,17,1738,1783,* Poorly controlled hypertension at screening,,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:013,1,exclusion,18,1784,2028,* Have any of the following cardiovascular conditions within 3 months prior to screening: Acute myocardial infarction; Cerebrovascular accident (stroke)/transient ischemic attack; Unstable angina; Hospitalization due to congestive heart failure,number;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,NCT07351058:candidate:014,1,exclusion,19,2029,2248,"* Treatment with any approved or investigational GLP-1-RA-based therapy (e.g., GLP-1 receptor mono agonist, GLP-1/GIP receptor dual agonist, GLP-1/GIP/Gluc receptor triple agonist) within 6 months prior to randomization",number;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:001,1,inclusion,3,21,41,* Age 45 - 70 years.,number;duration;measurement,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:002,1,inclusion,4,42,68,* Able to provide consent.,,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:003,1,inclusion,5,69,162,"* Resident of Philadelphia, Bucks, Delaware, Chester, or Montgomery Counties in Pennsylvania.",,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:004,1,inclusion,6,163,210,* Consume \<5 servings of whole grains per day.,number;comparison;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:005,1,inclusion,7,211,265,* Use online grocery shopping at least once per month.,comparison;duration,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:006,1,inclusion,8,266,337,* Have access to a credit or debit card to pay for groceries purchased.,,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:007,1,inclusion,9,338,370,* Have reliable internet access.,,,,,,,,,,,
reviewer_1,type_2_diabetes,NCT07167004,The GRoceries Aimed at Increasing Nutrition Study,NCT07167004:candidate:008,1,inclusion,10,371,387,* Speak English.,,,,,,,,,,,
