reviewer_id,group_id,nct_id,title,candidate_id,annotation_index,section_hint,line_number,start_char,end_char,source_text,detection_reasons,include_in_objective_gold,kind,fact_code,operator,threshold,unit,max_age_days,allowed_source_types,allowed_verification_statuses,reviewer_notes
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:001,1,inclusion,3,24,203,"* Histologically or cytologically documented locally recurrent inoperable, which cannot be treated with curative intent, or metastatic TNBC, as defined by the ASCO-CAP guidelines.",explicit_status,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:002,1,inclusion,4,204,221,* ECOG PS 0 or 1.,number;measurement,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:003,1,inclusion,5,222,521,"* Participants are expected to provide an FFPE tumour sample collected from a locally recurrent inoperable or metastatic tumour. Alternatively, an archival FFPE tumour sample can be submitted; it must have been collected ≤ 3 years prior to the participant signing informed consent (screening start).",number;comparison;duration,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:004,1,inclusion,6,522,684,* PD-L1 positive TNBC based on results from an appropriately validated investigational PD-L1 (22C3) assay (CPS ≥ 10) from a sponsor designated central laboratory.,number;comparison;measurement;explicit_status,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:005,1,inclusion,7,685,808,* No prior chemotherapy or other systemic anti-cancer therapy for metastatic or locally recurrent inoperable breast cancer.,explicit_status,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:006,1,inclusion,9,812,1058,"\- Patients with recurrent disease will be eligible if they have completed treatment for Stage I-III breast cancer, if indicated, and ≥6 months have elapsed between completion of treatment with curative intent and the first documented recurrence.",number;comparison;duration;explicit_status,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:007,1,inclusion,10,1059,1179,"* Eligible for one of the chemotherapy options listed as ICC (paclitaxel, nab-paclitaxel, or gemcitabine + carboplatin).",,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:008,1,inclusion,11,1180,1219,* Measurable disease as per RECIST 1.1.,number,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:009,1,inclusion,12,1220,1270,* Adequate bone marrow reserve and organ function.,,,,,,,,,,,
reviewer_1,breast_cancer,NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),NCT06103864:candidate:010,1,inclusion,13,1271,1392,* Male and female participants of childbearing potential must agree to use protocol-specified method(s) of contraception.,,,,,,,,,,,
